,Name,Sex,Team,NOC,Year,City,Sport,Event,Medal,participation_count_before_award
136815,Kazushito Manabe,M,Japan,JPN,1984,Los Angeles,Weightlifting,Weightlifting Men's Flyweight,Bronze,377
136821,Yoshiyuki Matsuoka,M,Japan,JPN,1984,Los Angeles,Judo,Judo Men's Half-Lightweight,Gold,378
136826,Yuko Mitsuya,F,Japan,JPN,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,Bronze,379
136828,Atsuji Miyahara,M,Japan,JPN,1984,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Gold,380
136832,Keiko Miyajima,F,Japan,JPN,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,Bronze,381
136850,Shinji Morisue,M,Japan,JPN,1984,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,Bronze,382
136852,Shinji Morisue,M,Japan,JPN,1984,Los Angeles,Gymnastics,Gymnastics Men's Horse Vault,Silver,383
136854,Shinji Morisue,M,Japan,JPN,1984,Los Angeles,Gymnastics,Gymnastics Men's Horizontal Bar,Gold,384
136857,Kimie Morita,F,Japan,JPN,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,Bronze,385
136859,Miwako Motoyoshi,F,Japan,JPN,1984,Los Angeles,Synchronized Swimming,Synchronized Swimming Women's Solo,Bronze,386
136860,Miwako Motoyoshi,F,Japan,JPN,1984,Los Angeles,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze,387
136867,Hideyuki Nagashima,M,Japan,JPN,1984,Los Angeles,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver,388
136869,Kumi Nakada,F,Japan,JPN,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,Bronze,389
136884,Seiki Nose,M,Japan,JPN,1984,Los Angeles,Judo,Judo Men's Middleweight,Bronze,390
136886,Emiko Odaka,F,Japan,JPN,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,Bronze,391
136905,Akira Ota,M,Japan,JPN,1984,Los Angeles,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver,392
136906,Sachiko Otani,F,Japan,JPN,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,Bronze,393
136915,Hitoshi Saito,M,Japan,JPN,1984,Los Angeles,Judo,Judo Men's Heavyweight,Gold,394
136916,Ikuzo Saito,M,Japan,JPN,1984,Los Angeles,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bronze,395
136929,Tsutomu Sakamoto,M,Japan,JPN,1984,Los Angeles,Cycling,Cycling Men's Sprint,Bronze,396
136959,Koji Sotomura,M,Japan,JPN,1984,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,Bronze,397
136960,Koji Sotomura,M,Japan,JPN,1984,Los Angeles,Gymnastics,Gymnastics Men's Floor Exercise,Bronze,398
136968,Kayoko Sugiyama,F,Japan,JPN,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball,Bronze,399
136979,Yuji Takada,M,Japan,JPN,1984,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze,400
136997,Hideaki Tomiyama,M,Japan,JPN,1984,Los Angeles,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold,401
137023,Hiroshi Yamamoto,M,Japan,JPN,1984,Los Angeles,Archery,Archery Men's Individual,Bronze,402
137028,Yasuhiro Yamashita,M,Japan,JPN,1984,Los Angeles,Judo,Judo Men's Open Class,Gold,403
137030,Kyoji Yamawaki,M,Japan,JPN,1984,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,Bronze,404
137087,Michiko Hasegawa-fukushima,F,Japan,JPN,1988,Seoul,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Silver,405
137098,Shinji Hosokawa,M,Japan,JPN,1988,Seoul,Judo,Judo Men's Extra-Lightweight,Bronze,406
137102,Yukio Iketani,M,Japan,JPN,1988,Seoul,Gymnastics,Gymnastics Men's Team All-Around,Bronze,407
137103,Yukio Iketani,M,Japan,JPN,1988,Seoul,Gymnastics,Gymnastics Men's Floor Exercise,Bronze,408
137158,Takashi Kobayashi,M,Japan,JPN,1988,Seoul,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Gold,409
137163,Hiroyuki Konishi,M,Japan,JPN,1988,Seoul,Gymnastics,Gymnastics Men's Team All-Around,Bronze,410
137172,Mikako Kotani,F,Japan,JPN,1988,Seoul,Synchronized Swimming,Synchronized Swimming Women's Solo,Bronze,411
137173,Mikako Kotani,F,Japan,JPN,1988,Seoul,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze,412
137205,Atsuji Miyahara,M,Japan,JPN,1988,Seoul,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver,413
137220,Koichi Mizushima,M,Japan,JPN,1988,Seoul,Gymnastics,Gymnastics Men's Team All-Around,Bronze,414
137284,Daisuke Nishikawa,M,Japan,JPN,1988,Seoul,Gymnastics,Gymnastics Men's Team All-Around,Bronze,415
137324,Akinobu Osako,M,Japan,JPN,1988,Seoul,Judo,Judo Men's Middleweight,Bronze,416
137326,Akira Ota,M,Japan,JPN,1988,Seoul,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver,417
137331,Hitoshi Saito,M,Japan,JPN,1988,Seoul,Judo,Judo Men's Heavyweight,Gold,418
137352,Mitsuru Sato,M,Japan,JPN,1988,Seoul,Wrestling,"Wrestling Men's Flyweight, Freestyle",Gold,419
137355,Toshiharu Sato,M,Japan,JPN,1988,Seoul,Gymnastics,Gymnastics Men's Team All-Around,Bronze,420
137382,Daichi Suzuki,M,Japan,JPN,1988,Seoul,Swimming,Swimming Men's 100 metres Backstroke,Gold,421
137408,Miyako Tanaka,F,Japan,JPN,1988,Seoul,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze,422
137433,Takahiro Yamada,M,Japan,JPN,1988,Seoul,Gymnastics,Gymnastics Men's Team All-Around,Bronze,423
137446,Yosuke Yamamoto,M,Japan,JPN,1988,Seoul,Judo,Judo Men's Half-Lightweight,Bronze,424
137464,Yutaka Aihara,M,Japan,JPN,1992,Barcelona,Gymnastics,Gymnastics Men's Team All-Around,Bronze,425
137471,Kosei Akaishi,M,Japan,JPN,1992,Barcelona,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze,426
137476,Yuko (-wilson),F,Japan,JPN,1992,Barcelona,Athletics,Athletics Women's Marathon,Silver,427
137485,Takashi Chinen,M,Japan,JPN,1992,Barcelona,Gymnastics,Gymnastics Men's Team All-Around,Bronze,428
137518,Yoshiaki Hatakeda,M,Japan,JPN,1992,Barcelona,Gymnastics,Gymnastics Men's Team All-Around,Bronze,429
137542,Yukio Iketani,M,Japan,JPN,1992,Barcelona,Gymnastics,Gymnastics Men's Team All-Around,Bronze,430
137543,Yukio Iketani,M,Japan,JPN,1992,Barcelona,Gymnastics,Gymnastics Men's Floor Exercise,Silver,431
137562,Tomohito Ito,M,Japan,JPN,1992,Barcelona,Baseball,Baseball Men's Baseball,Bronze,432
137568,Kyoko Iwasaki,F,Japan,JPN,1992,Barcelona,Swimming,Swimming Women's 200 metres Breaststroke,Gold,433
137585,Shinichiro Kawabata,M,Japan,JPN,1992,Barcelona,Baseball,Baseball Men's Baseball,Bronze,434
137599,Ryohei Koba,M,Japan,JPN,1992,Barcelona,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze,435
137604,Toshihiko Koga,M,Japan,JPN,1992,Barcelona,Judo,Judo Men's Lightweight,Gold,436
137606,Masahito Kohiyama,M,Japan,JPN,1992,Barcelona,Baseball,Baseball Men's Baseball,Bronze,437
137611,Hirotami Kojima,M,Japan,JPN,1992,Barcelona,Baseball,Baseball Men's Baseball,Bronze,438
137615,Hiroki Kokubo,M,Japan,JPN,1992,Barcelona,Baseball,Baseball Men's Baseball,Bronze,439
137620,Tadanori Koshino,M,Japan,JPN,1992,Barcelona,Judo,Judo Men's Extra-Lightweight,Bronze,440
137643,Masayuki Matsunaga,M,Japan,JPN,1992,Barcelona,Gymnastics,Gymnastics Men's Team All-Around,Bronze,441
137646,Masayuki Matsunaga,M,Japan,JPN,1992,Barcelona,Gymnastics,Gymnastics Men's Parallel Bars,Bronze,442
137664,Takashi Miwa,M,Japan,JPN,1992,Barcelona,Baseball,Baseball Men's Baseball,Bronze,443
137670,Noriko Mizoguchi,F,Japan,JPN,1992,Barcelona,Judo,Judo Women's Half-Lightweight,Silver,444
137675,Koichi Morishita,M,Japan,JPN,1992,Barcelona,Athletics,Athletics Men's Marathon,Silver,445
137689,Hiroshi Nakamoto,M,Japan,JPN,1992,Barcelona,Baseball,Baseball Men's Baseball,Bronze,446
137701,Masafumi Nishi,M,Japan,JPN,1992,Barcelona,Baseball,Baseball Men's Baseball,Bronze,447
137704,Daisuke Nishikawa,M,Japan,JPN,1992,Barcelona,Gymnastics,Gymnastics Men's Team All-Around,Bronze,448
137714,Kazutaka Nishiyama,M,Japan,JPN,1992,Barcelona,Baseball,Baseball Men's Baseball,Bronze,449
137721,Naoya Ogawa,M,Japan,JPN,1992,Barcelona,Judo,Judo Men's Heavyweight,Silver,450
137724,Hirotaka Okada,M,Japan,JPN,1992,Barcelona,Judo,Judo Men's Middleweight,Bronze,451
137727,Fumiko Okuno,F,Japan,JPN,1992,Barcelona,Synchronized Swimming,Synchronized Swimming Women's Solo,Bronze,452
137728,Fumiko Okuno,F,Japan,JPN,1992,Barcelona,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze,453
137734,Koichi Oshima,M,Japan,JPN,1992,Barcelona,Baseball,Baseball Men's Baseball,Bronze,454
137742,Hiroyuki Sakaguchi,M,Japan,JPN,1992,Barcelona,Baseball,Baseball Men's Baseball,Bronze,455
137744,Yoko Sakaue,F,Japan,JPN,1992,Barcelona,Judo,Judo Women's Heavyweight,Bronze,456
137754,Shinichi Sato,M,Japan,JPN,1992,Barcelona,Baseball,Baseball Men's Baseball,Bronze,457
137755,Yasuhiro Sato,M,Japan,JPN,1992,Barcelona,Baseball,Baseball Men's Baseball,Bronze,458
137774,Masanori Sugiura,M,Japan,JPN,1992,Barcelona,Baseball,Baseball Men's Baseball,Bronze,459
137775,Kento Sugiyama,M,Japan,JPN,1992,Barcelona,Baseball,Baseball Men's Baseball,Bronze,460
137782,Yasunori Takami,M,Japan,JPN,1992,Barcelona,Baseball,Baseball Men's Baseball,Bronze,461
137787,Aki Takayama,F,Japan,JPN,1992,Barcelona,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze,462
137789,Ryoko Tamura-tani,F,Japan,JPN,1992,Barcelona,Judo,Judo Women's Extra-Lightweight,Silver,463
137792,Yoko Tanabe,F,Japan,JPN,1992,Barcelona,Judo,Judo Women's Half-Heavyweight,Silver,464
137795,Chiyori (-masuchi),F,Japan,JPN,1992,Barcelona,Judo,Judo Women's Lightweight,Bronze,465
137796,Akihiro Togo,M,Japan,JPN,1992,Barcelona,Baseball,Baseball Men's Baseball,Bronze,466
137797,Koji Tokunaga,M,Japan,JPN,1992,Barcelona,Baseball,Baseball Men's Baseball,Bronze,467
137809,Shigeki Wakabayashi,M,Japan,JPN,1992,Barcelona,Baseball,Baseball Men's Baseball,Bronze,468
137811,Katsumi Watanabe,M,Japan,JPN,1992,Barcelona,Baseball,Baseball Men's Baseball,Bronze,469
137812,Kazumi Watanabe,M,Japan,JPN,1992,Barcelona,Shooting,Shooting Mixed Trap,Silver,470
137831,Hidehiko Yoshida,M,Japan,JPN,1992,Barcelona,Judo,Judo Men's Half-Middleweight,Gold,471
137843,Yuko (-wilson),F,Japan,JPN,1996,Atlanta,Athletics,Athletics Women's Marathon,Bronze,472
137855,Yuko Emoto,F,Japan,JPN,1996,Atlanta,Judo,Judo Women's Half-Middleweight,Gold,473
137857,Raika Fujii,F,Japan,JPN,1996,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze,474
137861,Kosuke Fukudome,M,Japan,JPN,1996,Atlanta,Baseball,Baseball Men's Baseball,Silver,475
137911,Tadahito Iguchi,M,Japan,JPN,1996,Atlanta,Baseball,Baseball Men's Baseball,Silver,476
137915,Makoto Imaoka,M,Japan,JPN,1996,Atlanta,Baseball,Baseball Men's Baseball,Silver,477
137940,Rei Jimbo,F,Japan,JPN,1996,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze,478
137943,Takanobu Jumonji,M,Japan,JPN,1996,Atlanta,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze,479
137955,Miho Kawabe,F,Japan,JPN,1996,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze,480
137960,Takeo Kawamura,M,Japan,JPN,1996,Atlanta,Baseball,Baseball Men's Baseball,Silver,481
137962,Akiko Kawase,F,Japan,JPN,1996,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze,482
137966,Jutaro Kimura,M,Japan,JPN,1996,Atlanta,Baseball,Baseball Men's Baseball,Silver,483
137967,Yurie Kinoshita,F,Japan,JPN,1996,Atlanta,Sailing,Sailing Women's Two Person Dinghy,Silver,484
137978,Toshihiko Koga,M,Japan,JPN,1996,Atlanta,Judo,Judo Men's Half-Middleweight,Silver,485
138003,Takashi Kurosu,M,Japan,JPN,1996,Atlanta,Baseball,Baseball Men's Baseball,Silver,486
138006,Takao Kuwamoto,M,Japan,JPN,1996,Atlanta,Baseball,Baseball Men's Baseball,Silver,487
138016,Nobuhiko Matsunaka,M,Japan,JPN,1996,Atlanta,Baseball,Baseball Men's Baseball,Silver,488
138031,Koichi Misawa,M,Japan,JPN,1996,Atlanta,Baseball,Baseball Men's Baseball,Silver,489
138051,Masahiko Mori,M,Japan,JPN,1996,Atlanta,Baseball,Baseball Men's Baseball,Silver,490
138054,Masao Morinaka,M,Japan,JPN,1996,Atlanta,Baseball,Baseball Men's Baseball,Silver,491
138063,Riho Nakajima,F,Japan,JPN,1996,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze,492
138065,Daishin Nakamura,M,Japan,JPN,1996,Atlanta,Baseball,Baseball Men's Baseball,Silver,493
138068,Kenzo Nakamura,M,Japan,JPN,1996,Atlanta,Judo,Judo Men's Lightweight,Gold,494
138073,Yukimasa Nakamura,M,Japan,JPN,1996,Atlanta,Judo,Judo Men's Half-Lightweight,Silver,495
138088,Masahiro Nojima,M,Japan,JPN,1996,Atlanta,Baseball,Baseball Men's Baseball,Silver,496
138089,Tadahiro Nomura,M,Japan,JPN,1996,Atlanta,Judo,Judo Men's Extra-Lightweight,Gold,497
138108,Hideaki Okubo,M,Japan,JPN,1996,Atlanta,Baseball,Baseball Men's Baseball,Silver,498
138111,Hitoshi Ono,M,Japan,JPN,1996,Atlanta,Baseball,Baseball Men's Baseball,Silver,499
138114,Takuya Ota,M,Japan,JPN,1996,Atlanta,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze,500
138121,Yasuyuki Saigo,M,Japan,JPN,1996,Atlanta,Baseball,Baseball Men's Baseball,Silver,501
138129,Tomoaki Sato,M,Japan,JPN,1996,Atlanta,Baseball,Baseball Men's Baseball,Silver,502
138149,Yumiko Shige,F,Japan,JPN,1996,Atlanta,Sailing,Sailing Women's Two Person Dinghy,Silver,503
138160,Noriko Sugawara-narazaki,F,Japan,JPN,1996,Atlanta,Judo,Judo Women's Half-Lightweight,Bronze,504
138163,Masanori Sugiura,M,Japan,JPN,1996,Atlanta,Baseball,Baseball Men's Baseball,Silver,505
138173,Miya Tachibana,F,Japan,JPN,1996,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze,506
138175,Takayuki Takabayashi,M,Japan,JPN,1996,Atlanta,Baseball,Baseball Men's Baseball,Silver,507
138176,Kaori Takahashi,F,Japan,JPN,1996,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze,508
138183,Miho Takeda,F,Japan,JPN,1996,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze,509
138184,Ryoko Tamura-tani,F,Japan,JPN,1996,Atlanta,Judo,Judo Women's Extra-Lightweight,Silver,510
138186,Yoko Tanabe,F,Japan,JPN,1996,Atlanta,Judo,Judo Women's Half-Heavyweight,Silver,511
138195,Junko Tanaka,F,Japan,JPN,1996,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze,512
138202,Yoshitomo Tani,M,Japan,JPN,1996,Atlanta,Baseball,Baseball Men's Baseball,Silver,513
138269,Misako Ando,F,Japan,JPN,2000,Sydney,Softball,Softball Women's Softball,Silver,514
138278,Ayano Egami,F,Japan,JPN,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,515
138279,Raika Fujii,F,Japan,JPN,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,516
138280,Yumiko Fujii,F,Japan,JPN,2000,Sydney,Softball,Softball Women's Softball,Silver,517
138342,Kosei Inoue,M,Japan,JPN,2000,Sydney,Judo,Judo Men's Half-Heavyweight,Gold,518
138346,Taeko Ishikawa,F,Japan,JPN,2000,Sydney,Softball,Softball Women's Softball,Silver,519
138348,Yoko Isoda,F,Japan,JPN,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,520
138349,Kazue Ito,F,Japan,JPN,2000,Sydney,Softball,Softball Women's Softball,Silver,521
138360,Rei Jimbo,F,Japan,JPN,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,522
138388,Yoshimi Kobayashi,F,Japan,JPN,2000,Sydney,Softball,Softball Women's Softball,Silver,523
138393,Shiori Koseki,F,Japan,JPN,2000,Sydney,Softball,Softball Women's Softball,Silver,524
138398,Kie Kusakabe,F,Japan,JPN,2000,Sydney,Judo,Judo Women's Lightweight,Bronze,525
138403,Mariko Masubuchi,F,Japan,JPN,2000,Sydney,Softball,Softball Women's Softball,Silver,526
138406,Naomi Matsumoto,F,Japan,JPN,2000,Sydney,Softball,Softball Women's Softball,Silver,527
138416,Sumika Minamoto,F,Japan,JPN,2000,Sydney,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,528
138439,Katsuhiko Nagata,M,Japan,JPN,2000,Sydney,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver,529
138442,Emi Naito,F,Japan,JPN,2000,Sydney,Softball,Softball Women's Softball,Silver,530
138446,Mai Nakamura,F,Japan,JPN,2000,Sydney,Swimming,Swimming Women's 100 metres Backstroke,Silver,531
138447,Mai Nakamura,F,Japan,JPN,2000,Sydney,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,532
138452,Miki Nakao,F,Japan,JPN,2000,Sydney,Swimming,Swimming Women's 200 metres Backstroke,Bronze,533
138471,Tadahiro Nomura,M,Japan,JPN,2000,Sydney,Judo,Judo Men's Extra-Lightweight,Gold,534
138475,Yoriko Okamoto,F,Japan,JPN,2000,Sydney,Taekwondo,Taekwondo Women's Welterweight,Bronze,535
138480,Junko Onishi,F,Japan,JPN,2000,Sydney,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,536
138486,Haruka Saito,F,Japan,JPN,2000,Sydney,Softball,Softball Women's Softball,Silver,537
138506,Shinichi Shinohara,M,Japan,JPN,2000,Sydney,Judo,Judo Men's Heavyweight,Silver,538
138511,Noriko Sugawara-narazaki,F,Japan,JPN,2000,Sydney,Judo,Judo Women's Half-Lightweight,Silver,539
138526,Miya Tachibana,F,Japan,JPN,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Duet,Silver,540
138527,Miya Tachibana,F,Japan,JPN,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,541
138532,Yasuko Tajima,F,Japan,JPN,2000,Sydney,Swimming,Swimming Women's 400 metres Individual Medley,Silver,542
138535,Naoko Takahashi,F,Japan,JPN,2000,Sydney,Athletics,Athletics Women's Marathon,Gold,543
138539,Juri Takayama,F,Japan,JPN,2000,Sydney,Softball,Softball Women's Softball,Silver,544
138542,Miho Takeda,F,Japan,JPN,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Duet,Silver,545
138543,Miho Takeda,F,Japan,JPN,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,546
138549,Makoto Takimoto,M,Japan,JPN,2000,Sydney,Judo,Judo Men's Half-Middleweight,Gold,547
138551,Hiroko Tamoto,F,Japan,JPN,2000,Sydney,Softball,Softball Women's Softball,Silver,548
138552,Ryoko Tamura-tani,F,Japan,JPN,2000,Sydney,Judo,Judo Women's Extra-Lightweight,Gold,549
138558,Masami Tanaka,F,Japan,JPN,2000,Sydney,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,550
138564,Juri Tatsumi,F,Japan,JPN,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,551
138579,Reika Utsugi,F,Japan,JPN,2000,Sydney,Softball,Softball Women's Softball,Silver,552
138585,Miyo Yamada,F,Japan,JPN,2000,Sydney,Softball,Softball Women's Softball,Silver,553
138589,Noriko Yamaji,F,Japan,JPN,2000,Sydney,Softball,Softball Women's Softball,Silver,554
138594,Mayumi Yamashita,F,Japan,JPN,2000,Sydney,Judo,Judo Women's Heavyweight,Bronze,555
138605,Yoko Yoneda,F,Japan,JPN,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,556
138606,Yuko Yoneda,F,Japan,JPN,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,557
138616,Ryoji Aikawa,M,Japan,JPN,2004,Athina,Baseball,Baseball Men's Baseball,Bronze,558
138620,Yuya Ando,M,Japan,JPN,2004,Athina,Baseball,Baseball Men's Baseball,Bronze,559
138621,Noriko Anno,F,Japan,JPN,2004,Athina,Judo,Judo Women's Half-Heavyweight,Gold,560
138629,Michiyo Fujimaru,F,Japan,JPN,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,561
138630,Atsushi Fujimoto,M,Japan,JPN,2004,Athina,Baseball,Baseball Men's Baseball,Bronze,562
138633,Kosuke Fukudome,M,Japan,JPN,2004,Athina,Baseball,Baseball Men's Baseball,Bronze,563
138639,Toshiaki Fushimi,M,Japan,JPN,2004,Athina,Cycling,Cycling Men's Team Sprint,Silver,564
138640,Kyoko Hamaguchi,F,Japan,JPN,2004,Athina,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Bronze,565
138646,Saho Harada,F,Japan,JPN,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,566
138656,Chiharu Icho,F,Japan,JPN,2004,Athina,Wrestling,"Wrestling Women's Flyweight, Freestyle",Silver,567
138657,Kaori Icho,F,Japan,JPN,2004,Athina,Wrestling,"Wrestling Women's Middleweight, Freestyle",Gold,568
138667,Kenji Inoue,M,Japan,JPN,2004,Athina,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze,569
138669,Masaki Inoue,M,Japan,JPN,2004,Athina,Cycling,Cycling Men's Team Sprint,Silver,570
138672,Hirotoshi Ishii,M,Japan,JPN,2004,Athina,Baseball,Baseball Men's Baseball,Bronze,571
138680,Kazue Ito,F,Japan,JPN,2004,Athina,Softball,Softball Women's Softball,Bronze,572
138682,Yumi Iwabuchi,F,Japan,JPN,2004,Athina,Softball,Softball Women's Softball,Bronze,573
138683,Hisashi Iwakuma,M,Japan,JPN,2004,Athina,Baseball,Baseball Men's Baseball,Bronze,574
138687,Hitoki Iwase,M,Japan,JPN,2004,Athina,Baseball,Baseball Men's Baseball,Bronze,575
138689,Hiroshi Izumi,M,Japan,JPN,2004,Athina,Judo,Judo Men's Middleweight,Silver,576
138690,Kenji Johjima,M,Japan,JPN,2004,Athina,Baseball,Baseball Men's Baseball,Bronze,577
138691,Makoto Kaneko,M,Japan,JPN,2004,Athina,Baseball,Baseball Men's Baseball,Bronze,578
138694,Takehiro Kashima,M,Japan,JPN,2004,Athina,Gymnastics,Gymnastics Men's Team All-Around,Gold,579
138699,Takehiro Kashima,M,Japan,JPN,2004,Athina,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze,580
138707,Naoko Kawashima,F,Japan,JPN,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,581
138714,Takuya Kimura,M,Japan,JPN,2004,Athina,Baseball,Baseball Men's Baseball,Bronze,582
138716,Kosuke Kitajima,M,Japan,JPN,2004,Athina,Swimming,Swimming Men's 100 metres Breaststroke,Gold,583
138717,Kosuke Kitajima,M,Japan,JPN,2004,Athina,Swimming,Swimming Men's 200 metres Breaststroke,Gold,584
138718,Kosuke Kitajima,M,Japan,JPN,2004,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,585
138721,Kanako Kitao,F,Japan,JPN,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,586
138722,Masahide Kobayashi,M,Japan,JPN,2004,Athina,Baseball,Baseball Men's Baseball,Bronze,587
138733,Hiroki Kuroda,M,Japan,JPN,2004,Athina,Baseball,Baseball Men's Baseball,Bronze,588
138748,Daisuke Matsuzaka,M,Japan,JPN,2004,Athina,Baseball,Baseball Men's Baseball,Bronze,589
138753,Masumi Mishina,F,Japan,JPN,2004,Athina,Softball,Softball Women's Softball,Bronze,590
138754,Daisuke Miura,M,Japan,JPN,2004,Athina,Baseball,Baseball Men's Baseball,Bronze,591
138757,Shinya Miyamoto,M,Japan,JPN,2004,Athina,Baseball,Baseball Men's Baseball,Bronze,592
138762,Hisashi Mizutori,M,Japan,JPN,2004,Athina,Gymnastics,Gymnastics Men's Team All-Around,Gold,593
138774,Tomomi Morita,M,Japan,JPN,2004,Athina,Swimming,Swimming Men's 100 metres Backstroke,Bronze,594
138776,Tomomi Morita,M,Japan,JPN,2004,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,595
138778,Arihito Muramatsu,M,Japan,JPN,2004,Athina,Baseball,Baseball Men's Baseball,Bronze,596
138780,Koji Murofushi,M,Japan,JPN,2004,Athina,Athletics,Athletics Men's Hammer Throw,Gold,597
138789,Tomohiro Nagatsuka,M,Japan,JPN,2004,Athina,Cycling,Cycling Men's Team Sprint,Silver,598
138790,Emi Naito,F,Japan,JPN,2004,Athina,Softball,Softball Women's Softball,Bronze,599
138795,Norihiro Nakamura,M,Japan,JPN,2004,Athina,Baseball,Baseball Men's Baseball,Bronze,600
138797,Reiko Nakamura,F,Japan,JPN,2004,Athina,Swimming,Swimming Women's 200 metres Backstroke,Bronze,601
138801,Yuko Nakanishi,F,Japan,JPN,2004,Athina,Swimming,Swimming Women's 200 metres Butterfly,Bronze,602
138803,Daisuke Nakano,M,Japan,JPN,2004,Athina,Gymnastics,Gymnastics Men's Team All-Around,Gold,603
138815,Mizuki Noguchi,F,Japan,JPN,2004,Athina,Athletics,Athletics Women's Marathon,Gold,604
138816,Tadahiro Nomura,M,Japan,JPN,2004,Athina,Judo,Judo Men's Extra-Lightweight,Gold,605
138822,Michihiro Ogasawara,M,Japan,JPN,2004,Athina,Baseball,Baseball Men's Baseball,Bronze,606
138830,Yoshihiro Okumura,M,Japan,JPN,2004,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,607
138850,Haruka Saito,F,Japan,JPN,2004,Athina,Softball,Softball Women's Softball,Bronze,608
138852,Hiroko Sakai,F,Japan,JPN,2004,Athina,Softball,Softball Women's Softball,Bronze,609
138854,Naoko Sakamoto,F,Japan,JPN,2004,Athina,Softball,Softball Women's Softball,Bronze,610
138862,Rie Sato,F,Japan,JPN,2004,Athina,Softball,Softball Women's Softball,Bronze,611
138864,Yuki Sato,F,Japan,JPN,2004,Athina,Softball,Softball Women's Softball,Bronze,612
138867,Kazuto Seki,M,Japan,JPN,2004,Athina,Sailing,Sailing Men's Two Person Dinghy,Bronze,613
138869,Ai Shibata,F,Japan,JPN,2004,Athina,Swimming,Swimming Women's 800 metres Freestyle,Gold,614
